"Masc, Sing, Free","Masc, Sing, Bound","Masc, Plural, Free","Masc, Plural, Bound","Fem, Sing, Free","Fem, Sing, Bound","Fem, Plural, Free","Fem, Plural, Bound"
lħsab,lħsab,lħsabat,lħsabat,,,,
87,,,,,,,
amglaj,umglaj,iamglajn,imglajn,tamglajt,tmglajt,tiamglajin,tmglajin
aglaj,uglaj,,,,,,
abaraz,ubaraz,ibarazn,ibarazn,,,,
asiʁaʁ,usiʁaʁ,isiʁaʁn,isiʁaʁn,tasiʁaʁt,tsiʁaʁt,tisiʁaʁin,tsiʁaʁin
,,,,tawsna,tawsna,,
lbni,lbni,,,,,,
!amʃiwr,!umʃiwr,!imʃiwirn,!imʃiwirn,!tamʃiwrt,!tmʃiwrt,!timʃiwirin,!tmʃiwirin
uraw,uuraw,urawn,wurawn,,,,
aslajmi,uslajmi,islajmin,islajmin,taslajmit,tslajmit,tislajmin,tslajmin
amdraw,umdraw,imdrawn,imdrawn,tamdrawt,tmdrawt,timdrawin,tmdrawin
asram,usram,isramn,isramn,,,,
412,,,,,,,
afullus,ufullus,ifullusn,ifullusn,tafullust,tfullust,tifullusin,tfullusin
