Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
324.0,lxdmt,l!baraka,[l-!baraka],[the blessing],N
325.0,lxdmt,ʁ,[ʁ],[at],
326.0,lxdmt,lmχzn,[l-mχzn],[Authority],N
327.0,lxdmt,ʃuf,[ʃuf],[look:ao:2S],V
328.0,lxdmt,i!sawb,[i-!sawb],[3MS-do good:ao],V
329.0,lxdmt,iʁarasn,[i-ʁaras-n],[PFSS-path],N
330.0,lxdmt,tʕdl,[t-ʕdl],[3FS-be good:pf],V
331.0,lxdmt,ddunit,[ddunit],[life],N
332.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
333.0,lxdmt,thnna,[t-hnna],[3FS-calm:pf],V
334.0,lxdmt,luqt,[l-uqt],[time],N
335.0,lxdmt,ifa,[i-fa],[3MS-give:pf],V
336.0,lxdmt,!rbbi,[!rbbi],[God],N
337.0,lxdmt,lhna,[l-hna],[peace],N
338.0,lxdmt,ftu,[ftu],[go on:Imper:2S],V
339.0,lxdmt,ʁ!ijjid,[ʁ-!ijjid],[overnight],N
340.0,lxdmt,tftut,[t-ftu-t],[2S-move towards:ao-2S],V
341.0,lxdmt,azal,[azal],[day],N
342.0,lxdmt,iskr,[i-skr],[3MS-do:pf],V
343.0,lxdmt,ʃʃwant,[ʃʃwant],[roads],N
344.0,lxdmt,tftut,[t-ftu-t],[2S-move towards:ao-2S],V
345.0,lxdmt,zz,[zz],[from],
346.0,lxdmt,ʁid,[ʁid],[deic],
347.0,lxdmt,tqqnt,[t-qqn-t],[2S-close:pf-2S],V
348.0,lxdmt,aln,[aln],[eyes],N
349.0,lxdmt,ar,[ar],[AR],
350.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
351.0,lxdmt,nʁd,[nʁd],[or],
352.0,lxdmt,ar,[ar],[AR],
353.0,lxdmt,!ddarl!bida,[!ddarl!bida],[Casablanca],N
355.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
356.0,lxdmt,tkkid,[t-kki-d],[2S-come from:pf-MS-deic],V
357.0,lxdmt,d,[d],[and],
358.0,lxdmt,kijji,[kijji],[2MS],
359.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
360.0,lxdmt,ʁass,[ʁ-ass],[Deic-day],N
361.0,lxdmt,a,[a-d],[DemDet-Deic:this] ,
362.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
363.0,lxdmt,ja,[ja],[yes],
364.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
365.0,lxdmt,i,[i],[for],
366.0,lxdmt,!rbbi,[!rbbi],[God],N
367.0,lxdmt,f,[f],[give:Imper 2S],V
368.0,lxdmt,i,[i],[to],
369.0,lxdmt,jji,[iji],[dat:1S],
370.0,lxdmt,l!aχbar,[l-!aχbar],[the news],N
371.0,lxdmt,ns,[n-s],[PossDet:3S],
372.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
373.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
374.0,lxdmt,iʕdl,[i-ʕdl],[3MS-be good:pf],V
375.0,lxdmt,kulʃi,[kulʃi],[whole thing],N
376.0,lxdmt,irχs,[i-rχs],[3MS-be cheap:pf],V
377.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
378.0,lxdmt,tlla,[t-lla],[3FS-be:pf],V
379.0,lxdmt,lχdmt,[l-χdm-t],[job],N
380.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
381.0,lxdmt,tuʒad,[t-uʒad],[3FS-be available:pf],V
382.0,lxdmt,lχdmt,[l-χdm-t],[the job],N
383.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
384.0,lxdmt,mnʃk,[mnʃk],[how much],
385.0,lxdmt,at,[at],[AD:Comp],
386.0,lxdmt,tga,[t-ga],[3FS-be:ao],V
387.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
388.0,lxdmt,tga,[t-ga],[3FS-cost:pf],V
389.0,lxdmt,mijtajn,[mijtajn],[two hundred],N
390.0,lxdmt,u,[u],[and],
391.0,lxdmt,!rbʕin,[!rbʕin],[forty],N
392.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
393.0,lxdmt,i,[i],[for],
394.0,lxdmt,wass,[w-ass],[SMCS-day],N
395.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
396.0,lxdmt,i,[i],[for],
397.0,lxdmt,wass,[w-ass],[SMCS-day],N
398.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
399.0,lxdmt,aj,[aj],[aïe],
400.0,lxdmt,aj,[aj],[aïe],
401.0,lxdmt,aj,[aj],[aïe],
402.0,lxdmt,mijtajn,[mijtajn],[two hundred],N
403.0,lxdmt,u,[u],[and],
404.0,lxdmt,rbʕin,[rbʕin],[fourty],
405.0,lxdmt,i,[i],[for],
406.0,lxdmt,wass,[w-ass],[SMCS-a day],N
407.0,lxdmt,nkki,[nkki],[1S:me],N
408.0,lxdmt,lli,[lli],[RelPro],
409.0,lxdmt,jssnn,[i-ssn-n],[3MS-know:pf],V
410.0,lxdmt,i,[i],[to],
411.0,lxdmt,lflus,[l-flus],[money],N
412.0,lxdmt,waχχa,[waχχa],[even if],
413.0,lxdmt,!ttbark,[!ttbark],[blesse:ao],V
414.0,lxdmt,!llah,[!llah],[God],N
415.0,lxdmt,gis,[gi-s],[loc:3MS],
416.0,lxdmt,skrʁ,[skr-ʁ],[do:Impf-1S],V
417.0,lxdmt,!tamubil,[!tamubil],[a car],N
418.0,lxdmt,aʁar,[aʁar],[just],
419.0,lxdmt,ʁ,[ʁ],[in],
420.0,lxdmt,ʃhrajn,[ʃhrajn],[two months],N
421.0,lxdmt,imma,[imma],[whereas],
422.0,lxdmt,is,[is],[Interro],
423.0,lxdmt,trχs,[t-rχs],[3FS-be cheap:pf],V
424.0,lxdmt,luqt,[l-uqt],[the-time],N
425.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
426.0,lxdmt,illa,[i-lla],[3MS-be:pf],V
427.0,lxdmt,rrχa,[rrχa],[inexpensive],N
428.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
429.0,lxdmt,mnʃk,[mnʃk],[how many],
430.0,lxdmt,a,[ad],[AD:Comp],
431.0,lxdmt,ttga,[tt-ga],[it-be:pf],V
432.0,lxdmt,tangult,[tangult],[loaf],N
433.0,lxdmt,taqdimt,[ta-qdim-t],[FFSS-old],N
434.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
435.0,lxdmt,!krad,[!krad],[three],
436.0,lxdmt,warrjaln,[w-arrjal-n],[SMCS-Rial],N
437.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
438.0,lxdmt,imma,[imma],[whereas],
